step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
30208,0.6136,133.2712,25.0451,0.0113,95.7
30464,0.7104,128.7953,18.5049,0.0113,94.5
30720,0.7470,147.1634,19.8741,0.0115,98.4
30976,0.6679,117.0044,18.2465,0.0115,91.4
31232,0.6938,134.1592,20.8387,0.0112,95.7
31488,0.6836,119.5492,21.7567,0.0114,95.3
31744,0.6996,127.2529,19.1836,0.0111,94.5
32000,0.6044,118.6676,22.9314,0.0113,92.6
32256,0.2676,34.2518,22.1895,0.0118,66.8
32512,0.7259,131.6772,19.9560,0.0111,96.9
32768,0.6557,107.2833,18.3377,0.0118,90.6
33024,0.5645,84.4038,21.9446,0.0117,87.5
33280,0.5507,61.0131,19.1188,0.0114,82.8
33536,0.7299,132.0855,18.7280,0.0113,96.1
33792,0.6549,108.9463,20.9926,0.0116,93.0
34048,0.6629,103.3407,18.7917,0.0118,91.0
34304,0.5316,66.9119,20.3442,0.0117,84.0
34560,0.6369,104.3813,20.4529,0.0112,91.4
34816,0.7253,106.3889,17.5089,0.0114,93.4
35072,0.7036,122.4467,19.0076,0.0111,94.5
35328,0.5272,67.6231,21.4882,0.0115,84.8
35584,0.6400,106.6297,17.8150,0.0115,87.9
35840,0.4541,54.9016,19.5868,0.0118,77.3
36096,0.6760,106.3208,20.0221,0.0114,93.8
36352,0.5384,73.9684,21.4340,0.0116,85.2
36608,0.7028,118.8979,19.7295,0.0112,95.3
36864,0.4579,46.7476,20.7544,0.0116,78.9
37120,0.6549,100.0862,20.8311,0.0114,92.6
37376,0.5094,65.7414,20.5622,0.0248,82.4
37632,0.3619,30.4564,18.9998,0.0118,69.5
37888,0.7451,104.4731,17.5963,0.0116,94.9
38144,0.6750,100.4088,18.9137,0.0114,91.8
38400,0.7315,120.7256,19.2203,0.0104,96.5
38656,0.5754,75.7832,19.4007,0.0117,85.2
38912,0.7895,125.5097,16.9390,0.0115,97.3
39168,0.4084,61.1337,19.3735,0.0117,72.7
39424,0.6681,108.9690,20.8843,0.0115,93.8
39680,0.4801,66.2113,21.6545,0.0116,81.2
39936,0.6442,109.4467,21.5655,0.0112,93.4
40192,0.6331,88.6431,19.6877,0.0116,90.2
40448,0.6348,85.5121,19.9478,0.0116,91.0
40704,0.7256,110.8037,21.5859,0.0116,98.4
40960,0.7331,113.9284,19.9486,0.0116,97.3
41216,0.6851,93.2789,17.0753,0.0115,91.0
41472,0.6666,96.9166,20.9844,0.0116,94.1
41728,0.6868,94.0505,19.7415,0.0114,94.1
41984,0.6819,97.0612,21.1588,0.0115,95.3
42240,0.5323,64.6416,19.8817,0.0117,83.2
42496,0.4559,38.2025,19.7856,0.0116,77.0
42752,0.5820,68.3107,22.1237,0.0116,89.5
43008,0.7305,100.6256,19.6682,0.0115,96.5
43264,0.7374,112.2501,19.4632,0.0119,96.5
43520,0.7612,112.5381,17.4284,0.0113,96.1
43776,0.6906,88.4607,18.7272,0.0115,93.0
44032,0.7592,111.8935,19.1675,0.0114,98.0
44288,0.6468,74.4526,19.2938,0.0117,89.8
44544,0.6194,71.3096,21.2484,0.0114,90.6
44800,0.7218,93.4426,20.3155,0.0112,96.9
45056,0.7285,98.0082,19.1950,0.0115,96.5
45312,0.7275,95.7220,19.5722,0.0113,96.5
45568,0.6081,75.4547,20.4227,0.0115,89.8
45824,0.7032,83.0610,19.0298,0.0113,94.5
46080,0.5497,65.0493,24.1011,0.0115,89.8
46336,0.5562,53.8615,19.1019,0.0116,83.6
46592,0.3889,43.6163,21.2631,0.0116,74.2
