step,avg_reward,loss,avg_distance,avg_dt,in_bounds_percent
256,0.8146,0.0000,14.3896,0.0274,97.3
512,-2.5269,0.3599,136.6024,0.0264,27.7
768,-1.3839,0.2460,86.6979,0.0194,39.8
1024,0.7997,-0.9441,16.9391,0.0279,98.0
1280,0.7704,-1.4873,21.7781,0.0240,99.2
1536,0.7067,-1.4816,20.8041,0.0246,96.5
1792,0.6498,-2.9378,23.9345,0.0260,93.8
2048,0.5774,-2.8993,25.8427,0.0251,89.8
2304,0.5577,-3.3512,23.1564,0.0260,88.7
